time,n1,n2,weight
0,26,24,11.778408
0,19,09,6.2833095
0,37,39,22.323606
0,01,06,42.36361
0,39,22,18.69394
0,32,06,10.2777605
0,02,39,5.889684
0,17,26,13.918908
0,01,17,24.973028
0,24,04,1.3147125
0,07,38,15.99238
0,25,07,0.3116982
0,21,15,5.5732956
0,16,07,18.786695
0,39,31,6.6543283
0,14,40,23.02439
0,32,26,7.0253034
0,17,22,24.406792
0,26,14,18.942799
0,15,24,17.710533
0,14,06,15.4752655
0,05,25,36.87649
0,22,26,54.626297
0,36,18,15.87018
0,32,36,57.724323
0,15,30,49.205673
0,10,26,28.100616
0,31,10,32.394505
0,38,34,47.572075
0,37,16,31.99308
0,08,03,16.132187
0,01,11,7.157754
0,28,27,13.85225
0,38,35,10.977652
0,08,33,31.386703
0,01,28,25.209728
0,26,33,6.2680335
0,26,23,30.812803
0,05,33,24.584932
0,07,30,28.66959
0,04,26,19.668798
0,26,22,54.626297
0,16,27,14.645759
0,13,26,6.851209
0,18,34,38.518013
0,12,29,36.55572
0,11,14,6.111758
0,26,08,6.453912
0,13,38,14.429528
0,09,13,0.46571192
0,21,19,23.032286
0,28,18,15.131858
0,36,20,15.307582
0,30,12,26.111734
0,40,33,30.325195
0,29,01,1.7126694
0,01,10,47.747654
0,07,06,33.837555
0,29,07,5.189634
0,30,24,0.43893266
0,38,20,8.67666
0,05,20,9.786295
0,26,35,12.137966
0,29,40,22.309282
0,28,12,22.011772
0,06,24,40.81917
0,24,35,33.302578
0,25,24,15.517935
0,05,13,0.7214878
0,28,07,8.065681
0,04,29,12.351529
0,10,28,2.7680767
0,21,08,33.495327
0,37,13,30.288847
0,17,15,7.5144734
0,30,27,17.419033
0,04,35,13.051106
0,18,02,42.549297
0,20,34,24.818827
0,17,30,28.177467
0,32,25,11.238435
0,21,25,28.892576
0,31,20,56.431213
0,34,28,55.523277
0,02,11,15.617149
0,25,13,4.1395736
0,37,08,25.117964
0,20,28,5.027502
0,40,29,22.309282
0,08,37,25.117964
0,38,27,13.453508
0,32,31,1.5630736
0,12,40,9.417911
0,40,19,15.335159
0,07,34,25.496939
0,23,02,35.458504
0,29,06,7.613355
0,34,06,13.65389
0,09,39,3.5972915
0,10,03,9.336164
0,27,13,13.890024
0,29,25,12.663365
0,40,32,3.6764684
0,10,01,47.747654
0,26,01,2.2580972
0,24,01,4.3989067
0,19,36,36.58123
0,23,05,24.23273
0,22,02,10.6592455
0,11,01,7.157754
0,37,21,3.689188
0,13,08,12.856421
0,15,23,17.265781
0,08,26,6.453912
0,17,01,24.973028
0,04,14,75.16402
0,38,32,40.91312
0,37,07,1.6193461
0,06,26,25.327755
0,38,40,21.688908
0,26,29,4.690636
0,05,27,6.953504
0,02,03,36.51979
0,17,34,27.944265
0,11,24,13.495255
0,25,12,61.95372
0,05,12,3.6185727
0,30,07,28.66959
0,01,19,50.599186
0,22,34,1.5771165
0,07,16,18.786695
0,20,11,9.441542
0,37,18,21.978731
0,05,34,57.495865
0,19,17,19.346033
0,08,20,0.81587195
0,02,28,0.30728513
0,18,27,9.646246
0,19,02,21.094912
0,04,09,9.891734
0,29,21,14.891864
0,39,37,22.323606
0,26,38,46.73417
0,34,12,0.4492958
0,18,07,2.0037682
0,10,20,17.706602
0,16,37,31.99308
0,15,32,41.47867
0,24,16,2.761709
0,37,10,43.19886
0,37,09,10.7108345
0,27,39,7.915306
0,27,05,6.953504
0,40,01,17.338026
0,26,34,0.45422462
0,35,21,20.029922
0,20,29,41.058224
0,39,13,8.874729
